,Unnamed: 0,kepid,name,koi_impact,koi_prad
0,0,10797460,Kepler-227 b,0.146,2.26
1,1,10797460,Kepler-227 c,0.586,2.83
4,4,10854555,Kepler-664 b,0.701,2.75
5,5,10872983,Kepler-228 d,0.538,3.9
6,6,10872983,Kepler-228 c,0.762,2.77
7,7,10872983,Kepler-228 b,0.755,1.59
9,9,10910878,Kepler-229 c,0.052,5.76
10,10,11446443,Kepler-1 b,0.818,13.04
11,11,10666592,Kepler-2 b,0.224,16.1
12,12,6922244,Kepler-8 b,0.631,14.59
13,13,10984090,Kepler-466 c,0.051,1.16
18,18,10526549,Kepler-660 b,0.387,2.47
19,19,10583066,Kepler-661 b,0.258,2.85
21,21,10601284,Kepler-226 c,0.092,2.55
22,22,10601284,Kepler-226 b,0.226,1.7
23,23,10601284,Kepler-226 d,0.025,1.3
25,25,10662202,Kepler-662 b,0.896,2.95
26,26,10682541,Kepler-663 b,0.71,2.78
27,27,11460018,Kepler-671 b,0.424,2.3
31,31,11507101,Kepler-672 b,0.468,2.82
32,32,10910878,Kepler-229 d,0.045,3.86
33,33,10910878,Kepler-229 b,0.105,2.65
34,34,10987985,Kepler-665 b,0.799,3.1
35,35,11018648,Kepler-230 b,0.021,3.36
36,36,11018648,Kepler-230 c,0.606,2.12
39,39,11153539,Kepler-666 b,0.312,2.1
41,41,9579641,Kepler-105 b,0.787,2.94
42,42,11304958,Kepler-667 b,0.355,5.5
43,43,11391957,Kepler-668 b,0.023,2.52
44,44,11403044,Kepler-669 b,0.597,4.43
45,45,11414511,Kepler-670 b,0.105,12.21
47,47,12110942,Kepler-680 b,0.151,1.89
48,48,12366084,Kepler-232 b,0.405,3.25
49,49,12366084,Kepler-232 c,0.911,3.95
50,50,12404086,Kepler-681 b,0.602,3.07
51,51,8395660,Kepler-106 c,0.866,2.64
52,52,9579641,Kepler-105 c,0.898,1.79
54,54,11754553,Kepler-52 c,0.001,2.0
55,55,11754553,Kepler-52 b,0.041,2.16
56,56,11754553,Kepler-52 d,0.028,1.99
57,57,11812062,Kepler-673 b,0.558,6.02
59,59,11853255,Kepler-674 b,0.915,1.99
61,61,11918099,Kepler-675 b,0.28,2.34
64,64,11923270,Kepler-676 b,0.679,2.65
65,65,11960862,Kepler-677 b,0.39,5.31
66,66,12020329,Kepler-678 b,0.547,4.86
67,67,12066335,Kepler-231 c,0.031,1.93
68,68,12066335,Kepler-231 b,0.628,1.91
69,69,12070811,Kepler-679 b,0.883,2.66
70,70,8395660,Kepler-106 e,0.852,2.87
73,73,3342970,Kepler-234 b,0.023,3.12
74,74,3342970,Kepler-234 c,0.012,3.32
76,76,12470844,Kepler-233 b,0.022,2.59
77,77,12470844,Kepler-233 c,0.094,2.36
78,78,12644822,Kepler-682 b,0.55,7.4
81,81,2713049,Kepler-683 b,0.238,2.06
82,82,3114167,Kepler-684 b,0.838,2.77
85,85,4139816,Kepler-235 d,0.556,1.96
86,86,4139816,Kepler-235 e,0.013,1.83
87,87,8395660,Kepler-106 d,0.95,1.31
88,88,4139816,Kepler-235 c,0.708,1.2
89,89,4275191,Kepler-688 b,0.524,7.34
90,90,4476123,Kepler-689 b,0.4,2.32
91,91,3351888,Kepler-685 b,0.076,9.73
94,94,3641726,Kepler-1727 b,0.024,2.57
96,96,3832474,Kepler-30 d,0.379,8.9
97,97,8395660,Kepler-106 b,0.646,0.79
98,98,3832474,Kepler-30 c,0.224,12.19
99,99,3832474,Kepler-30 b,0.3619,1.91
102,102,3935914,Kepler-686 b,0.514,11.3
103,103,3940418,Kepler-1728 b,0.003,2.5
104,104,4049131,Kepler-687 b,0.26,3.41
105,105,4139816,Kepler-235 b,0.466,2.03
107,107,5358241,Kepler-53 b,0.08,3.12
108,108,10875245,Kepler-107 c,0.529,1.7
109,109,5358241,Kepler-53 d,0.949,2.76
110,110,5358241,Kepler-53 c,0.911,4.02
111,111,5358624,Kepler-428 b,0.12,11.58
113,113,4664847,Kepler-690 b,0.517,5.52
114,114,4725681,Kepler-236 c,0.416,1.8
115,115,4725681,Kepler-236 b,0.888,1.82
116,116,4913852,Kepler-691 b,0.573,2.1
120,120,10875245,Kepler-107 e,0.173,2.89
121,121,5021899,Kepler-692 b,0.053,3.38
124,124,5164255,Kepler-693 b,0.692,11.01
125,125,5252423,Kepler-237 c,0.047,2.11
126,126,5252423,Kepler-237 b,0.258,1.46
127,127,5272878,Kepler-694 b,0.524,2.44
130,130,5651104,Kepler-695 b,0.736,8.99
131,131,5792202,Kepler-27 b,0.773,5.0
132,132,10875245,Kepler-107 d,0.706,1.06
133,133,5792202,Kepler-27 c,0.798,6.5
137,137,5436502,Kepler-238 e,0.008,7.89
138,138,5436502,Kepler-238 d,0.014,3.06
139,139,5436502,Kepler-238 c,0.235,2.32
140,140,5436502,Kepler-238 b,0.746,1.62
141,141,10875245,Kepler-107 b,0.196,1.53
142,142,5436502,Kepler-238 f,0.379,2.67
143,143,5456651,Kepler-239 b,0.048,2.35
144,144,5456651,Kepler-239 c,0.7,2.37
146,146,5531576,Kepler-240 c,0.3,2.25
147,147,5531576,Kepler-240 b,0.004,1.48
149,149,6291653,Kepler-702 b,0.644,8.24
150,150,6392727,Kepler-703 b,0.045,5.39
151,151,6422070,Kepler-704 b,0.926,2.66
152,152,6428700,Kepler-242 b,0.823,3.01
153,153,6428700,Kepler-242 c,0.97,3.01
154,154,5792202,Kepler-27 d,0.644,2.19
155,155,5794379,Kepler-241 b,0.427,2.31
156,156,5794379,Kepler-241 c,0.26,2.64
157,157,5881688,Kepler-696 b,0.458,6.21
158,158,6022556,Kepler-697 b,0.023,4.35
159,159,6032497,Kepler-698 b,0.791,3.75
160,160,6061119,Kepler-699 b,0.782,13.84
161,161,6191521,Kepler-700 b,0.527,7.59
163,163,3531558,Kepler-467 b,0.686,2.29
164,164,6276477,Kepler-701 b,0.029,2.47
165,165,6863998,Kepler-709 b,0.867,3.68
167,167,6948054,Kepler-245 b,0.02,2.56
168,168,6948054,Kepler-245 d,0.035,3.03
169,169,6948054,Kepler-245 c,0.594,2.32
170,170,6435936,Kepler-705 b,0.018,1.94
171,171,6522242,Kepler-706 b,0.377,11.38
173,173,6587280,Kepler-243 b,0.348,2.47
174,174,9471974,Kepler-108 b,0.035,8.2
175,175,6587280,Kepler-243 c,0.957,2.28
178,178,6685526,Kepler-707 b,0.128,1.41
180,180,6784235,Kepler-708 b,0.026,2.62
181,181,6849310,Kepler-244 b,0.196,3.11
182,182,6849310,Kepler-244 d,0.383,2.69
183,183,6849310,Kepler-244 c,0.9,2.67
185,185,9471974,Kepler-108 c,0.812,7.78
187,187,7366258,Kepler-82 b,0.03,3.91
188,188,7366258,Kepler-82 c,0.183,5.51
189,189,7366258,Kepler-82 e,0.209,2.43
190,190,7366258,Kepler-82 d,0.479,1.86
191,191,7373451,Kepler-712 b,0.036,3.07
192,192,6948054,Kepler-245 e,0.06,1.69
193,193,6949607,Kepler-28 b,0.17,1.73
194,194,6949607,Kepler-28 c,0.008,1.65
197,197,7109675,Kepler-46 b,0.67,8.46
198,198,7109675,Kepler-46 d,0.429,1.97
199,199,7118364,Kepler-710 b,0.025,2.36
200,200,7134976,Kepler-246 b,0.567,2.35
201,201,7134976,Kepler-246 c,0.387,1.55
202,202,7135852,Kepler-1729 b,0.705,2.62
204,204,7287995,Kepler-81 b,0.327,2.33
205,205,7287995,Kepler-81 c,0.286,2.18
206,206,7287995,Kepler-81 d,0.706,1.42
208,208,7303253,Kepler-711 b,0.926,3.16
209,209,5094751,Kepler-109 b,0.833,2.54
210,210,7678434,Kepler-716 b,0.537,3.2
211,211,7678434,Kepler-716 c,0.836,1.78
212,212,7685981,Kepler-717 b,0.899,2.66
214,214,7373451,Kepler-712 c,0.731,4.53
217,217,7434875,Kepler-247 c,0.049,4.16
218,218,8349582,Kepler-95 b,0.0,3.13
219,219,7434875,Kepler-247 d,0.497,2.92
220,220,7434875,Kepler-247 b,0.252,1.74
221,221,7455287,Kepler-54 b,0.192,1.72
222,222,7455287,Kepler-54 c,0.014,1.29
223,223,7455287,Kepler-54 d,0.228,1.3
224,224,7458762,Kepler-713 b,0.712,2.45
226,226,757450,Kepler-75 b,0.069,10.51
227,227,7585481,Kepler-714 b,0.018,8.95
228,228,7663691,Kepler-715 b,0.862,3.52
229,229,5812701,Kepler-448 b,0.075,13.16
232,232,8039892,Kepler-719 b,0.344,6.96
233,233,8150320,Kepler-55 d,0.69,1.85
234,234,8150320,Kepler-55 b,0.063,1.9
235,235,11086270,Kepler-110 b,0.008,2.57
237,237,7825899,Kepler-248 c,0.043,4.14
238,238,7825899,Kepler-248 b,0.03,2.96
239,239,7849854,Kepler-718 b,0.437,13.12
240,240,7870390,Kepler-83 b,0.09,2.23
241,241,7870390,Kepler-83 d,0.351,1.66
242,242,5094751,Kepler-109 c,0.02,2.48
243,243,7870390,Kepler-83 c,0.886,2.25
244,244,7907423,Kepler-249 c,0.334,1.16
245,245,7907423,Kepler-249 b,0.001,0.91
246,246,7907423,Kepler-249 d,0.115,1.11
247,247,7938496,Kepler-1730 b,0.791,4.56
248,248,8490993,Kepler-722 b,0.93,2.85
249,249,8490993,Kepler-722 c,0.964,3.43
250,250,8505670,Kepler-252 c,0.21,2.34
251,251,8505670,Kepler-252 b,0.644,1.18
252,252,8544996,Kepler-723 b,0.093,10.55
254,254,8150320,Kepler-55 c,0.045,1.85
255,255,8150320,Kepler-55 e,0.649,1.62
256,256,8150320,Kepler-55 f,0.714,1.75
258,258,8226994,Kepler-250 c,0.45,2.47
259,259,8226994,Kepler-250 d,0.653,2.43
260,260,8226994,Kepler-250 b,0.093,1.08
261,261,8247638,Kepler-251 c,0.395,2.72
262,262,8247638,Kepler-251 d,0.839,3.14
263,263,8247638,Kepler-251 b,0.11,1.36
264,264,11086270,Kepler-110 c,0.125,3.09
265,265,8247638,Kepler-251 e,0.028,2.64
266,266,8255887,Kepler-720 b,0.061,10.6
268,268,8414716,Kepler-721 b,0.314,2.68
270,270,9141746,Kepler-730 b,0.535,9.66
272,272,9166862,Kepler-731 b,0.348,13.61
274,274,11449844,Kepler-468 b,0.003,13.26
276,276,8628973,Kepler-724 b,0.799,3.94
278,278,8672910,Kepler-725 b,0.062,10.98
280,280,8689031,Kepler-726 b,0.751,2.6
281,281,8689373,Kepler-253 c,0.168,2.53
282,282,8689373,Kepler-253 d,0.206,2.95
283,283,8689373,Kepler-253 b,0.691,1.7
284,284,8826878,Kepler-727 b,0.933,2.94
285,285,5897826,Kepler-469 b,0.023,20.7
286,286,8883593,Kepler-728 b,0.001,3.13
289,289,9077124,Kepler-729 b,0.032,3.82
291,291,9466668,Kepler-256 c,0.433,2.11
292,292,9466668,Kepler-256 d,0.341,2.06
293,293,9466668,Kepler-256 b,0.271,1.57
294,294,9466668,Kepler-256 e,0.646,2.3
295,295,9479273,Kepler-734 b,0.041,3.18
296,296,8359498,Kepler-77 b,0.079,10.43
298,298,9334289,Kepler-254 b,0.033,4.09
299,299,9334289,Kepler-254 c,0.021,2.58
300,300,9334289,Kepler-254 d,0.508,3.05
301,301,9347899,Kepler-31 b,0.066,5.5
302,302,9347899,Kepler-31 c,0.142,5.22
303,303,9347899,Kepler-31 d,0.147,4.0
305,305,9388479,Kepler-732 b,0.081,2.13
306,306,9388479,Kepler-732 c,0.009,1.24
307,307,11359879,Kepler-15 b,0.566,10.62
308,308,9406990,Kepler-733 b,0.256,2.74
309,309,9415172,Kepler-255 c,0.035,3.12
310,310,9415172,Kepler-255 d,0.037,1.45
311,311,9415172,Kepler-255 b,0.503,1.78
313,313,3231341,Kepler-24 b,0.965,3.43
314,314,3231341,Kepler-24 e,1.3,43.17
315,315,3231341,Kepler-24 d,0.949,2.07
317,317,7626506,Kepler-112 c,0.068,2.32
320,320,10482160,Kepler-1739 b,0.185,1.84
333,333,8559644,Kepler-111 c,0.652,7.67
336,336,3240158,Kepler-769 b,0.097,2.47
337,337,3240158,Kepler-769 c,0.533,1.62
339,339,3218908,Kepler-770 b,0.806,13.92
343,343,10350571,Kepler-784 b,0.283,1.78
345,345,3749365,Kepler-785 b,0.337,8.78
350,350,3632418,Kepler-21 b,0.893,1.69
354,354,5809890,Kepler-755 b,0.412,1.41
355,355,5809890,Kepler-755 c,0.698,1.36
356,356,6131236,Kepler-1734 b,0.62,2.01
358,358,3218908,Kepler-770 c,0.136,5.88
359,359,3218908,Kepler-770 d,0.639,7.62
361,361,2837111,Kepler-771 b,0.314,1.59
376,376,5956342,Kepler-265 c,0.202,2.54
377,377,5956342,Kepler-265 b,0.077,1.67
378,378,5956342,Kepler-265 e,0.027,2.39
379,379,5956342,Kepler-265 d,0.67,2.39
380,380,5956656,Kepler-756 b,0.286,1.54
381,381,3109930,Kepler-1736 b,0.061,2.33
382,382,2854914,Kepler-268 b,0.014,2.48
