# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jan 11 04:18:35 2023
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_impact,koi_impact_err1,koi_impact_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_kepmag
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1.0000,0.1460,0.3180,-0.1460,2.26,2.600e-01,-1.500e-01,793.0,,,15.347
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.9690,0.5860,0.0590,-0.4430,2.83,3.200e-01,-1.900e-01,443.0,,,15.347
3,10811496,K00753.01,,CANDIDATE,CANDIDATE,0.0000,0.9690,5.1260,-0.0770,14.60,3.920e+00,-1.310e+00,638.0,,,15.436
4,10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.2760,0.1150,-0.0920,33.46,8.500e+00,-2.830e+00,1395.0,,,15.597
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1.0000,0.7010,0.2350,-0.4780,2.75,8.800e-01,-3.500e-01,1406.0,,,15.509
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1.0000,0.5380,0.0300,-0.4280,3.90,1.270e+00,-4.200e-01,835.0,,,15.714
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1.0000,0.7620,0.1390,-0.5320,2.77,9.000e-01,-3.000e-01,1160.0,,,15.714
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.9920,0.7550,0.2120,-0.5230,1.59,5.200e-01,-1.700e-01,1360.0,,,15.714
9,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.1690,7.1330,-0.0440,39.21,6.450e+00,-9.670e+00,1342.0,,,12.660
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1.0000,0.0520,0.2620,-0.0520,5.76,2.200e-01,-4.900e-01,600.0,,,15.841
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.8110,0.8180,0.0010,-0.0010,13.04,5.100e-01,-5.100e-01,1339.0,,,11.338
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0000,0.2240,0.1590,-0.2160,16.10,8.100e-01,-9.100e-01,2048.0,,,10.463
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.9980,0.6310,0.0070,-0.0070,14.59,1.110e+00,-1.110e+00,1521.0,,,13.563
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1.0000,0.0510,0.3950,-0.0510,1.16,1.700e-01,-1.200e-01,1206.0,,,12.772
15,10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.4830,2.8510,-0.6730,150.51,3.976e+01,-1.331e+01,753.0,,,15.472
16,10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.8040,0.0070,-0.0050,7.18,7.600e-01,-6.800e-01,523.0,,,15.487
17,10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.0650,0.0310,-0.0340,49.29,1.603e+01,-5.000e+00,698.0,,,15.341
18,10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0.2920,0.1180,-0.1010,7.94,8.900e-01,-8.900e-01,595.0,,,15.788
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1.0000,0.3870,0.0040,-0.3860,2.47,2.000e-01,-2.400e-01,649.0,,,15.302
