,Unnamed: 0_x,kepid_x,name,koi_impact_x,koi_prad_x,Unnamed: 0_y,description,discovery date,Unnamed: 0,kepid_y,koi_impact_y,koi_prad_y
0,0,10797460,Kepler-227 b,0.146,2.26,1081,"Kepler-226 c is a super Earth exoplanet that orbits a G-type star. Its mass is 0.142 Jupiters, it takes 5.3 days to complete one orbit of its star, and is 0.058 AU from its star. Its discovery was announced in 2014.",2014,0,10797460,0.146,2.26
1,1,10797460,Kepler-227 c,0.586,2.83,1082,"Kepler-226 d is a super Earth exoplanet that orbits a G-type star. Its mass is 1.98 Earths, it takes 8.1 days to complete one orbit of its star, and is 0.076 AU from its star. Its discovery was announced in 2014.",2014,1,10797460,0.586,2.83
2,4,10854555,Kepler-664 b,0.701,2.75,1910,"Kepler-661 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 9.64 Earths, it takes 6 days to complete one orbit of its star, and is 0.0585 AU from its star. Its discovery was announced in 2016.",2016,4,10854555,0.701,2.75
3,5,10872983,Kepler-228 d,0.538,3.9,1085,"Kepler-228 b is a super Earth exoplanet that orbits an F-type star. Its mass is 2.96 Earths, it takes 2.6 days to complete one orbit of its star, and is 0.038 AU from its star. Its discovery was announced in 2014.",2014,5,10872983,0.538,3.9
4,6,10872983,Kepler-228 c,0.762,2.77,1084,"Kepler-227 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 9.48 Earths, it takes 54.4 days to complete one orbit of its star, and is 0.29 AU from its star. Its discovery was announced in 2014.",2014,6,10872983,0.762,2.77
5,7,10872983,Kepler-228 b,0.755,1.59,1083,"Kepler-227 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 9.85 Earths, it takes 9.5 days to complete one orbit of its star, and is 0.09 AU from its star. Its discovery was announced in 2014.",2014,7,10872983,0.755,1.59
6,9,10910878,Kepler-229 c,0.052,5.76,1087,"Kepler-228 d is a Neptune-like exoplanet that orbits an F-type star. Its mass is 15.4 Earths, it takes 11.1 days to complete one orbit of its star, and is 0.101 AU from its star. Its discovery was announced in 2014.",2014,9,10910878,0.052,5.76
7,12,6922244,Kepler-8 b,0.631,14.59,2206,"Kepler-897 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.3 Earths, it takes 8 days to complete one orbit of its star, and is 0.077 AU from its star. Its discovery was announced in 2016.",2016,12,6922244,0.631,14.59
8,13,10984090,Kepler-466 c,0.051,1.16,1645,"Kepler-465 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 9.01 Earths, it takes 9.9 days to complete one orbit of its star, and is 0.0953 AU from its star. Its discovery was announced in 2016.",2016,13,10984090,0.051,1.16
9,18,10526549,Kepler-660 b,0.387,2.47,1906,"Kepler-65 b is a super Earth exoplanet that orbits an F-type star. Its mass is 2.4 Earths, it takes 2.2 days to complete one orbit of its star, and is 0.035 AU from its star. Its discovery was announced in 2012.",2016,18,10526549,0.387,2.47
10,19,10583066,Kepler-661 b,0.258,2.85,1907,"Kepler-65 c is a Neptune-like exoplanet that orbits an F-type star. Its mass is 5.4 Earths, it takes 5.9 days to complete one orbit of its star, and is 0.068 AU from its star. Its discovery was announced in 2012.",2016,19,10583066,0.258,2.85
11,21,10601284,Kepler-226 c,0.092,2.55,1079,"Kepler-225 c is a super Earth exoplanet that orbits an M-type star. Its mass is 4.04 Earths, it takes 18.8 days to complete one orbit of its star, and is 0.111 AU from its star. Its discovery was announced in 2014.",2014,21,10601284,0.092,2.55
12,22,10601284,Kepler-226 b,0.226,1.7,1078,"Kepler-225 b is a super Earth exoplanet that orbits an M-type star. Its mass is 1.87 Earths, it takes 6.7 days to complete one orbit of its star, and is 0.056 AU from its star. Its discovery was announced in 2014.",2014,22,10601284,0.226,1.7
13,23,10601284,Kepler-226 d,0.025,1.3,1080,"Kepler-226 b is a super Earth exoplanet that orbits a G-type star. Its mass is 24 Earths, it takes 3.9 days to complete one orbit of its star, and is 0.047 AU from its star. Its discovery was announced in 2014.",2014,23,10601284,0.025,1.3
14,25,10662202,Kepler-662 b,0.896,2.95,1908,"Kepler-65 d is a super Earth exoplanet that orbits an F-type star. Its mass is 4.14 Earths, it takes 8.1 days to complete one orbit of its star, and is 0.084 AU from its star. Its discovery was announced in 2012.",2016,25,10662202,0.896,2.95
15,26,10682541,Kepler-663 b,0.71,2.78,1909,"Kepler-660 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 7.13 Earths, it takes 9.3 days to complete one orbit of its star, and is 0.0759 AU from its star. Its discovery was announced in 2016.",2016,26,10682541,0.71,2.78
16,27,11460018,Kepler-671 b,0.424,2.3,1918,"Kepler-669 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 20.8 Earths, it takes 4.1 days to complete one orbit of its star, and is 0.0529 AU from its star. Its discovery was announced in 2016.",2016,27,11460018,0.424,2.3
17,31,11507101,Kepler-672 b,0.468,2.82,1919,"Kepler-66 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 8.25 Earths, it takes 17.8 days to complete one orbit of its star, and is 0.1352 AU from its star. Its discovery was announced in 2013.",2016,31,11507101,0.468,2.82
18,32,10910878,Kepler-229 d,0.045,3.86,1088,"Kepler-229 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 5.48 Earths, it takes 6.3 days to complete one orbit of its star, and is 0.062 AU from its star. Its discovery was announced in 2014.",2011,32,10910878,0.045,3.86
19,33,10910878,Kepler-229 b,0.105,2.65,1086,"Kepler-228 c is a Neptune-like exoplanet that orbits an F-type star. Its mass is 7.75 Earths, it takes 4.1 days to complete one orbit of its star, and is 0.052 AU from its star. Its discovery was announced in 2014.",2014,33,10910878,0.105,2.65
20,34,10987985,Kepler-665 b,0.799,3.1,1911,"Kepler-662 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 5.39 Earths, it takes 21.7 days to complete one orbit of its star, and is 0.1408 AU from its star. Its discovery was announced in 2016.",2016,34,10987985,0.799,3.1
21,35,11018648,Kepler-230 b,0.021,3.36,1090,"Kepler-229 d is a Neptune-like exoplanet that orbits a K-type star. Its mass is 14.2 Earths, it takes 41.2 days to complete one orbit of its star, and is 0.22 AU from its star. Its discovery was announced in 2014.",2014,35,11018648,0.021,3.36
22,36,11018648,Kepler-230 c,0.606,2.12,1091,,2014,36,11018648,0.606,2.12
23,39,11153539,Kepler-666 b,0.312,2.1,1912,"Kepler-663 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 7.27 Earths, it takes 5 days to complete one orbit of its star, and is 0.0559 AU from its star. Its discovery was announced in 2016.",2016,39,11153539,0.312,2.1
24,41,9579641,Kepler-105 b,0.787,2.94,79,"Kepler-105 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 5.1 Earths, it takes 5.4 days to complete one orbit of its star, and is 0.066 AU from its star. Its discovery was announced in 2013.",2013,41,9579641,0.787,2.94
25,42,11304958,Kepler-667 b,0.355,5.5,1913,"Kepler-664 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.56 Earths, it takes 2.5 days to complete one orbit of its star, and is 0.0374 AU from its star. Its discovery was announced in 2016.",2016,42,11304958,0.355,5.5
