,Unnamed: 0,index,row,name,light years from earth,planet mass,stellar magnitude,discovery date,planet type,planet radius,orbital period,solar system name,planet discovery method,host temperature (Cº),host mass,host radius,Tª type,distance type,planet radius [0],indice masa
0,0,0,1419,Kepler-1000 b,3017.0,20.3 Earths,13.192,2016,Neptune-like,0.425 x Jupiter,120 days,Kepler-10,Transit,2773.333333333333,0.91,1.06,muy caliente,criogenia,0.425,20.3
1,1,1,1420,Kepler-1001 b,3291.0,10.1 Earths,15.33,2016,Neptune-like,0.281 x Jupiter,14.3 days,Kepler-10,Transit,2773.333333333333,0.91,1.06,muy caliente,criogenia,0.281,10.1
2,2,2,1421,Kepler-1001 c,3291.0,3.11 Earths,15.33,2020,Super Earth,1.578 x Earth,9.2 days,Kepler-100,Transit,2838.333333333333,1.08,1.49,muy caliente,criogenia,1.578,3.11
3,3,3,1422,Kepler-1002 b,1386.0,3.57 Earths,11.647,2016,Super Earth,1.71 x Earth,4.3 days,Kepler-100,Transit,2838.333333333333,1.08,1.49,muy caliente,criogenia,1.71,3.57
4,4,4,1423,Kepler-1003 b,2848.0,3.82 Earths,14.023,2016,Super Earth,1.78 x Earth,3.6 days,Kepler-100,Transit,2838.333333333333,1.08,1.49,muy caliente,criogenia,1.78,3.82
5,5,5,1424,Kepler-1004 b,3523.0,32.5 Earths,13.4,2016,Neptune-like,0.56 x Jupiter,5.3 days,Kepler-1000,Transit,3187.222222222222,1.4,1.51,muy caliente,criogenia,0.56,32.5
6,6,6,1425,Kepler-1005 b,1680.0,2.86 Earths,13.184,2016,Super Earth,1.5 x Earth,6.5 days,Kepler-1001,Transit,2652.777777777778,0.9,0.88,muy caliente,criogenia,1.5,2.86
7,7,7,1426,Kepler-1006 b,1618.0,2.99 Earths,14.563,2016,Super Earth,1.54 x Earth,19.8 days,Kepler-1001,Transit,2652.777777777778,0.9,0.88,muy caliente,criogenia,1.54,2.99
8,8,8,1427,Kepler-1007 b,1191.0,2.67 Earths,14.735,2016,Super Earth,1.44 x Earth,5.2 days,Kepler-1002,Transit,3015.555555555556,1.22,1.57,muy caliente,criogenia,1.44,2.67
9,9,9,1428,Kepler-1008 b,975.0,2.18 Earths,13.379,2016,Super Earth,1.28 x Earth,12.4 days,Kepler-1003,Transit,2996.111111111112,1.11,1.17,muy caliente,criogenia,1.28,2.18
10,10,10,1429,Kepler-1009 b,917.0,5.35 Earths,15.301,2016,Neptune-like,2.17 x Earth,11.4 days,Kepler-1004,Transit,2364.4444444444443,1.11,3.39,muy caliente,criogenia,2.17,5.35
11,11,11,1430,Kepler-100 b,1003.0,7.34 Earths,11.129,2014,Super Earth,1.32 x Earth,6.9 days,Kepler-1005,Transit,2814.4444444444443,1.0,1.06,muy caliente,criogenia,1.32,7.34
12,12,12,1431,Kepler-100 c,1003.0,7.05 Earths,11.129,2014,Neptune-like,2.2 x Earth,12.8 days,Kepler-1006,Transit,2562.222222222222,0.78,0.74,muy caliente,criogenia,2.2,7.05
13,13,13,1432,Kepler-100 d,1003.0,3 Earths,11.129,2014,Super Earth,1.61 x Earth,35.3 days,Kepler-1007,Transit,2150.555555555556,0.73,0.7,muy caliente,criogenia,1.61,3
14,14,14,1433,Kepler-1010 b,1990.0,5.99 Earths,14.687,2016,Neptune-like,0.207 x Jupiter,34.3 days,Kepler-1008,Transit,2416.6666666666665,0.81,0.78,muy caliente,criogenia,0.207,5.99
15,15,15,1434,Kepler-1011 b,2805.0,8.6 Earths,15.203,2016,Neptune-like,0.256 x Jupiter,5.8 days,Kepler-1009,Transit,1839.4444444444443,0.59,0.57,muy caliente,criogenia,0.256,8.6
16,16,16,1435,Kepler-1012 b,1370.0,2.21 Earths,13.315,2016,Super Earth,1.29 x Earth,5.5 days,Kepler-101,Transit,2750.555555555556,1.17,1.56,muy caliente,criogenia,1.29,2.21
17,17,17,1436,Kepler-1013 b,1412.0,5.27 Earths,14.408,2016,Neptune-like,2.15 x Earth,18.9 days,Kepler-101,Transit,2750.555555555556,1.17,1.56,muy caliente,criogenia,2.15,5.27
18,18,18,1437,Kepler-1014 b,2192.0,6.3 Earths,14.627,2016,Neptune-like,0.213 x Jupiter,16.6 days,Kepler-1010,Transit,2520.555555555556,0.86,0.82,muy caliente,criogenia,0.213,6.3
19,19,19,1438,Kepler-1015 b,3040.0,12.3 Earths,12.759,2016,Neptune-like,0.317 x Jupiter,16 days,Kepler-1011,Transit,2611.111111111112,0.91,0.88,muy caliente,criogenia,0.317,12.3
20,20,20,1439,Kepler-1016 b,4042.0,5.39 Earths,15.319,2016,Neptune-like,2.18 x Earth,2 days,Kepler-1012,Transit,2688.8888888888887,0.95,0.91,muy caliente,criogenia,2.18,5.39
21,21,21,1440,Kepler-1016 c,4042.0,13.1 Earths,15.319,2016,Neptune-like,0.328 x Jupiter,105.7 days,Kepler-1013,Transit,2354.4444444444443,0.81,0.76,muy caliente,criogenia,0.328,13.1
22,22,22,1441,Kepler-1017 b,1807.0,4.62 Earths,14.115,2016,Super Earth,1.99 x Earth,7.2 days,Kepler-1014,Transit,2595.555555555556,0.88,0.84,muy caliente,criogenia,1.99,4.62
23,23,23,1442,Kepler-1018 b,2916.0,7.18 Earths,15.014,2016,Neptune-like,0.23 x Jupiter,49.1 days,Kepler-1015,Transit,3362.777777777778,1.49,1.81,muy caliente,criogenia,0.23,7.18
24,24,24,1443,Kepler-1019 b,646.0,2.73 Earths,13.593,2016,Super Earth,1.46 x Earth,1.4 days,Kepler-1016,Transit,2836.111111111112,0.99,1.0,muy caliente,criogenia,1.46,2.73
