,index,row,name,light years from earth,planet mass,stellar magnitude,discovery date,planet type,planet radius,orbital radius,orbital period,eccentricity,solar system name,planet discovery method,right ascension,declination,host temperature (Cº),host mass,host radius,Tª type,distance type,planet radius [0],kepid,koi_impact,koi_prad
0,1419,1419,Kepler-1000 b,3017.0,20.3 Earths,13.192,2016,Neptune-like,0.425 x Jupiter,Unknown,120 days,0,Kepler-10,Transit,19h02m43.05s,+50d14m28.7s,2773.3333333333335,0.91,1.06,muy caliente,criogenia,0.425,10063802,0.58,4.54
1,1420,1420,Kepler-1001 b,3291.0,10.1 Earths,15.33,2016,Neptune-like,0.281 x Jupiter,Unknown,14.3 days,0,Kepler-10,Transit,19h02m43.05s,+50d14m28.7s,2773.3333333333335,0.91,1.06,muy caliente,criogenia,0.281,11074178,0.924,3.05
2,1421,1421,Kepler-1001 c,3291.0,3.11 Earths,15.33,2020,Super Earth,1.578 x Earth,Unknown,9.2 days,0,Kepler-100,Transit,19h25m32.63s,+41d59m25.0s,2838.3333333333335,1.08,1.49,muy caliente,criogenia,1.578,11074178,0.971,2.17
3,1422,1422,Kepler-1002 b,1386.0,3.57 Earths,11.647,2016,Super Earth,1.71 x Earth,Unknown,4.3 days,0,Kepler-100,Transit,19h25m32.63s,+41d59m25.0s,2838.3333333333335,1.08,1.49,muy caliente,criogenia,1.71,7449136,0.641,1.75
4,1423,1423,Kepler-1003 b,2848.0,3.82 Earths,14.023,2016,Super Earth,1.78 x Earth,Unknown,3.6 days,0,Kepler-100,Transit,19h25m32.63s,+41d59m25.0s,2838.3333333333335,1.08,1.49,muy caliente,criogenia,1.78,8689793,0.331,1.29
5,1424,1424,Kepler-1004 b,3523.0,32.5 Earths,13.4,2016,Neptune-like,0.56 x Jupiter,Unknown,5.3 days,0,Kepler-1000,Transit,19h06m44.53s,+47d05m53.6s,3187.222222222222,1.4,1.51,muy caliente,criogenia,0.56,11673802,0.474,7.1
6,1425,1425,Kepler-1005 b,1680.0,2.86 Earths,13.184,2016,Super Earth,1.5 x Earth,Unknown,6.5 days,0,Kepler-1001,Transit,19h05m05.73s,+48d37m07.3s,2652.777777777778,0.9,0.88,muy caliente,criogenia,1.5,7668663,0.92,1.87
7,1426,1426,Kepler-1006 b,1618.0,2.99 Earths,14.563,2016,Super Earth,1.54 x Earth,Unknown,19.8 days,0,Kepler-1001,Transit,19h05m05.73s,+48d37m07.3s,2652.777777777778,0.9,0.88,muy caliente,criogenia,1.54,7047922,0.924,2.81
8,1427,1427,Kepler-1007 b,1191.0,2.67 Earths,14.735,2016,Super Earth,1.44 x Earth,Unknown,5.2 days,0,Kepler-1002,Transit,19h32m19.08s,+43d04m25.4s,3015.5555555555557,1.22,1.57,muy caliente,criogenia,1.44,9353314,0.021,1.15
9,1428,1428,Kepler-1008 b,975.0,2.18 Earths,13.379,2016,Super Earth,1.28 x Earth,Unknown,12.4 days,0,Kepler-1003,Transit,19h28m04.91s,+44d52m34.4s,2996.1111111111113,1.11,1.17,muy caliente,criogenia,1.28,8766650,0.663,1.3
10,1429,1429,Kepler-1009 b,917.0,5.35 Earths,15.301,2016,Neptune-like,2.17 x Earth,Unknown,11.4 days,0,Kepler-1004,Transit,19h49m26.23s,+49d47m51.2s,2364.4444444444443,1.11,3.39,muy caliente,criogenia,2.17,7094486,0.035,1.75
11,1430,1430,Kepler-100 b,1003.0,7.34 Earths,11.129,2014,Super Earth,1.32 x Earth,Unknown,6.9 days,0.13,Kepler-1005,Transit,19h05m08.64s,+43d19m13.7s,2814.4444444444443,1.0,1.06,muy caliente,criogenia,1.32,6521045,0.696,1.3
