,name,description,discovery date
0,Kepler-1000 b,"Kepler-1000 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 20.3 Earths, it takes 120 days to complete one orbit of its star, and is 0.5337 AU from its star. Its discovery was announced in 2016.",2016
1,Kepler-1001 b,"Kepler-1001 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 10.1 Earths, it takes 14.3 days to complete one orbit of its star, and is 0.1129 AU from its star. Its discovery was announced in 2016.",2016
2,Kepler-1001 c,"Kepler-1001 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 10.1 Earths, it takes 14.3 days to complete one orbit of its star, and is 0.1129 AU from its star. Its discovery was announced in 2016.",2016
3,Kepler-1002 b,"Kepler-1002 b is a super Earth exoplanet that orbits an F-type star. Its mass is 3.57 Earths, it takes 4.3 days to complete one orbit of its star, and is 0.0564 AU from its star. Its discovery was announced in 2016.",2016
4,Kepler-1003 b,"Kepler-1003 b is a super Earth exoplanet that orbits an F-type star. Its mass is 3.82 Earths, it takes 3.6 days to complete one orbit of its star, and is 0.0444 AU from its star. Its discovery was announced in 2016.",2016
5,Kepler-1004 b,"Kepler-1004 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 32.5 Earths, it takes 5.3 days to complete one orbit of its star, and is 0.0671 AU from its star. Its discovery was announced in 2016.",2016
6,Kepler-1005 b,"Kepler-1005 b is a super Earth exoplanet that orbits a G-type star. Its mass is 2.86 Earths, it takes 6.5 days to complete one orbit of its star, and is 0.0669 AU from its star. Its discovery was announced in 2016.",2016
7,Kepler-1006 b,"Kepler-1006 b is a super Earth exoplanet that orbits a G-type star. Its mass is 2.99 Earths, it takes 19.8 days to complete one orbit of its star, and is 0.1464 AU from its star. Its discovery was announced in 2016.",2016
8,Kepler-1007 b,"Kepler-1007 b is a super Earth exoplanet that orbits a K-type star. Its mass is 2.67 Earths, it takes 5.2 days to complete one orbit of its star, and is 0.048 AU from its star. Its discovery was announced in 2016.",2016
9,Kepler-1008 b,"Kepler-1008 b is a super Earth exoplanet that orbits a K-type star. Its mass is 2.18 Earths, it takes 12.4 days to complete one orbit of its star, and is 0.0951 AU from its star. Its discovery was announced in 2016.",2016
10,Kepler-1009 b,"Kepler-1009 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 5.35 Earths, it takes 11.4 days to complete one orbit of its star, and is 0.0796 AU from its star. Its discovery was announced in 2016.",2016
11,Kepler-100 b,"Kepler-100 b is a super Earth exoplanet that orbits a G-type star. Its mass is 7.34 Earths, it takes 6.9 days to complete one orbit of its star, and is 0.072 AU from its star. Its discovery was announced in 2014.",2014
12,Kepler-100 c,"Kepler-100 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 7.05 Earths, it takes 12.8 days to complete one orbit of its star, and is 0.109 AU from its star. Its discovery was announced in 2014.",2014
13,Kepler-100 d,"Kepler-100 d is a super Earth exoplanet that orbits a G-type star. Its mass is 3 Earths, it takes 35.3 days to complete one orbit of its star, and is 0.2143 AU from its star. Its discovery was announced in 2014.",2014
14,Kepler-1010 b,"Kepler-1010 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 5.99 Earths, it takes 34.3 days to complete one orbit of its star, and is 0.193 AU from its star. Its discovery was announced in 2016.",2016
15,Kepler-1011 b,"Kepler-1011 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 8.6 Earths, it takes 5.8 days to complete one orbit of its star, and is 0.0633 AU from its star. Its discovery was announced in 2016.",2016
16,Kepler-1012 b,"Kepler-1012 b is a super Earth exoplanet that orbits a G-type star. Its mass is 2.21 Earths, it takes 5.5 days to complete one orbit of its star, and is 0.0585 AU from its star. Its discovery was announced in 2016.",2016
17,Kepler-1013 b,"Kepler-1013 b is a Neptune-like exoplanet that orbits a K-type star. Its mass is 5.27 Earths, it takes 18.9 days to complete one orbit of its star, and is 0.137 AU from its star. Its discovery was announced in 2016.",2016
18,Kepler-1014 b,"Kepler-1014 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 6.3 Earths, it takes 16.6 days to complete one orbit of its star, and is 0.121 AU from its star. Its discovery was announced in 2016.",2016
19,Kepler-1015 b,"Kepler-1015 b is a Neptune-like exoplanet that orbits an F-type star. Its mass is 12.3 Earths, it takes 16 days to complete one orbit of its star, and is 0.1396 AU from its star. Its discovery was announced in 2016.",2016
20,Kepler-1016 b,"Kepler-1016 b is a Neptune-like exoplanet that orbits a G-type star. Its mass is 5.39 Earths, it takes 2 days to complete one orbit of its star, and is 0.0307 AU from its star. Its discovery was announced in 2016.",2016
21,Kepler-1016 c,"Kepler-1016 c is a Neptune-like exoplanet that orbits a G-type star. Its mass is 13.1 Earths, it takes 105.7 days to complete one orbit of its star, and is 0.4389 AU from its star. Its discovery was announced in 2016.",2016
22,Kepler-1017 b,"Kepler-1017 b is a super Earth exoplanet that orbits a G-type star. Its mass is 4.62 Earths, it takes 7.2 days to complete one orbit of its star, and is 0.0702 AU from its star. Its discovery was announced in 2016.",2016
